Date,Time,Opponent,High,Low
2019-07-11,19:00,Toledo,89.67,74.67
2019-07-12,19:00,Toledo,88.00,72.00
2019-07-13,18:30,Toledo,93.00,74.00
2019-07-14,14:00,Toledo,91.33,73.67
2019-07-23,19:00,Gwinnett,88.67,70.33
2019-07-24,12:00,Gwinnett,91.00,74.00
2019-07-25,19:00,Gwinnett,90.33,72.00
2019-07-26,19:00,Scranton,91.33,71.33
2019-07-27,18:30,Scranton,88.33,74.00
2019-07-28,14:00,Scranton,86.00,71.00
2019-08-02,19:00,Toledo,86.33,71.33
2019-08-03,18:30,Toledo,90.00,69.67
2019-08-04,14:00,Toledo,88.00,69.67
2019-08-13,19:00,Lehigh Valley,87.33,67.67
2019-08-14,19:00,Lehigh Valley,88.00,69.67
2019-08-15,19:00,Lehigh Valley,88.33,71.67
2019-08-16,19:00,Rochester,87.67,73.33
2019-08-17,18:30,Rochester,88.33,74.67
2019-08-18,14:00,Rochester,86.67,74.00
2019-08-25,14:00,Indianapolis,87.00,70.33
2019-08-26,19:00,Columbus,88.33,70.00
2019-08-27,19:00,Columbus,88.33,71.67
2019-08-28,19:00,Columbus,90.33,73.33
2019-08-29,19:00,Columbus,89.00,72.00
2019-09-01,18:00,Indianapolis,81.67,64.67
2019-09-02,13:00,Indianapolis,80.67,63.67
